flags,report,new_region,species,country,input_zone,input_zone2,type,reliability,year,estimate,survey_area
max,2016,N,africana,Mali,Gourma extreme area,Gourma,O,D,2015,51,1287763
,1979,S,africana,Angola,Southern/Mupa,Southern Mupa,,,1978,7400,240024
